resistance
0.3871
0.3881
0.3886
0.3879
0.3883
0.3872
0.3885
0.3877
0.3880
0.3898
0.3874
0.3875
0.3871
0.3876
0.3875
0.3879
0.3886
0.3875
0.3893
0.3876
0.3868
0.3883
0.3878
0.3882
0.3885
0.3879
0.3879
0.3878
0.3877
